iter	Passed	Remaining
804	2300	557
805	2303	554
806	2305	551
807	2308	548
808	2311	545
809	2314	542
810	2317	540
811	2321	537
812	2323	534
813	2326	531
814	2328	528
815	2331	525
816	2334	522
817	2336	519
818	2339	516
819	2341	514
820	2344	511
821	2346	508
822	2349	505
823	2352	502
824	2354	499
825	2357	496
826	2359	493
827	2362	490
828	2365	487
829	2367	484
830	2370	482
831	2373	479
832	2375	476
833	2378	473
834	2381	470
835	2384	467
836	2387	464
837	2390	462
838	2392	459
839	2394	456
840	2397	453
841	2399	450
842	2402	447
843	2405	444
844	2407	441
845	2410	438
846	2412	435
847	2414	432
848	2417	429
849	2420	427
850	2423	424
851	2426	421
852	2428	418
853	2431	415
854	2433	412
855	2436	409
856	2439	407
857	2442	404
858	2444	401
859	2447	398
860	2449	395
861	2452	392
862	2455	389
863	2457	386
864	2460	384
865	2463	381
866	2465	378
867	2468	375
868	2470	372
869	2472	369
870	2475	366
871	2477	363
872	2480	360
873	2483	358
874	2485	355
875	2488	352
876	2491	349
877	2493	346
878	2496	343
879	2500	340
880	2503	338
881	2507	335
882	2510	332
883	2513	329
884	2516	327
885	2519	324
886	2521	321
887	2524	318
888	2527	315
889	2530	312
890	2533	309
891	2536	307
892	2539	304
893	2541	301
894	2543	298
895	2546	295
896	2549	292
897	2551	289
898	2554	287
899	2557	284
900	2560	281
901	2563	278
902	2566	275
903	2569	272
904	2572	270
905	2574	267
906	2577	264
907	2581	261
908	2584	258
909	2586	255
910	2589	252
911	2592	250
912	2595	247
913	2598	244
914	2601	241
915	2604	238
916	2607	236
917	2610	233
918	2613	230
919	2615	227
920	2618	224
921	2620	221
922	2624	218
923	2628	216
924	2631	213
925	2633	210
926	2636	207
927	2639	204
928	2642	201
929	2645	199
930	2648	196
931	2651	193
932	2654	190
933	2657	187
934	2659	184
935	2662	182
936	2665	179
937	2667	176
938	2670	173
939	2673	170
940	2676	167
941	2678	164
942	2681	162
943	2684	159
944	2687	156
945	2690	153
946	2693	150
947	2696	147
948	2699	145
949	2702	142
950	2705	139
951	2707	136
952	2710	133
953	2712	130
954	2715	127
955	2717	125
956	2720	122
957	2722	119
958	2725	116
959	2728	113
960	2730	110
961	2733	107
962	2735	105
963	2738	102
964	2740	99
965	2744	96
966	2746	93
967	2749	90
968	2752	88
969	2755	85
970	2757	82
971	2760	79
972	2763	76
973	2765	73
974	2768	70
975	2771	68
976	2774	65
977	2776	62
978	2778	59
979	2781	56
980	2783	53
981	2786	51
982	2789	48
983	2792	45
984	2795	42
985	2797	39
986	2800	36
987	2803	34
988	2805	31
989	2807	28
990	2810	25
991	2812	22
992	2815	19
993	2818	17
994	2820	14
995	2822	11
996	2825	8
997	2827	5
998	2830	2
999	2833	0
